fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision
1,0.4792560801144492,0.5195445976198892,0.3099273607748184,0.6183574879227053,0.4129032258064516,0.5839617454145556,0.4101865122634847
2,0.5135908440629471,0.5663220219158713,0.342042755344418,0.6956521739130435,0.4585987261146497,0.6433368681512902,0.42758479581301956
3,0.5386819484240688,0.5673130848017947,0.3482849604221636,0.6376811594202898,0.45051194539249145,0.6165569625234905,0.4312579225396278
4,0.498567335243553,0.5080630085500359,0.30303030303030304,0.5314009661835749,0.38596491228070173,0.5313025768174976,0.3493405892269842
5,0.5114613180515759,0.5423762999694993,0.3282051282051282,0.6183574879227053,0.4288107202680067,0.5918415537648691,0.39716333143859983
