,precision,recall,f1-score,support,score
0,0.9227799227799228,0.6485753052917232,0.7617529880478088,737.0,
1,0.46041666666666664,0.8467432950191571,0.5964912280701754,261.0,
accuracy,0.7004008016032064,0.7004008016032064,0.7004008016032064,0.7004008016032064,0.7004008016032064
macro avg,0.6915982947232947,0.7476593001554401,0.6791221080589921,998.0,
weighted avg,0.8018612756400834,0.7004008016032064,0.7185332291759027,998.0,
AUROC,,,,,0.7381379414318169
AUPRC,,,,,0.4462045585035901
balanced_accuracy,,,,,0.7476593001554401
