fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision
1,0.715,0.6889293139293139,0.4647887323943662,0.6346153846153846,0.5365853658536586,0.73245841995842,0.4390273055495676
2,0.725,0.7331081081081081,0.48148148148148145,0.75,0.5864661654135338,0.7364864864864865,0.4808951459343248
3,0.685,0.6831600564754203,0.43902439024390244,0.6792452830188679,0.5333333333333333,0.7326402259016814,0.4248123086594287
4,0.7135678391959799,0.6942700156985872,0.4657534246575342,0.6538461538461539,0.544,0.7324699110413396,0.46658401444506525
5,0.7035175879396985,0.6998953427524857,0.45569620253164556,0.6923076923076923,0.549618320610687,0.7535321821036106,0.4674831980611066
