,precision,recall,f1-score,support,score
0,0.9193857965451055,0.649932157394844,0.7615262321144675,737.0,
1,0.4591194968553459,0.8390804597701149,0.5934959349593496,261.0,
accuracy,0.6993987975951904,0.6993987975951904,0.6993987975951904,0.6993987975951904,0.6993987975951904
macro avg,0.6892526467002258,0.7445063085824795,0.6775110835369085,998.0,
weighted avg,0.7990155518366614,0.6993987975951904,0.7175824369666861,998.0,
AUROC,,,,,0.7339166237776633
AUPRC,,,,,0.4317539230972589
balanced_accuracy,,,,,0.7445063085824795
