fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision
1,0.67,0.7208939708939709,0.43,0.8269230769230769,0.5657894736842105,0.73245841995842,0.4390273055495676
2,0.72,0.7671517671517671,0.4787234042553192,0.8653846153846154,0.6164383561643836,0.7364864864864865,0.4808951459343248
3,0.7,0.753690155307406,0.46464646464646464,0.8679245283018868,0.6052631578947368,0.7326402259016814,0.4248123086594287
4,0.6834170854271356,0.7173600209314495,0.44086021505376344,0.7884615384615384,0.5655172413793104,0.7324699110413396,0.46658401444506525
5,0.7386934673366834,0.7920591313448456,0.5,0.9038461538461539,0.6438356164383562,0.7535321821036106,0.4674831980611066
