fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision
1,0.6924177396280401,0.6681689642983386,0.4846153846153846,0.6086956521739131,0.5396145610278372,0.5839617454145556,0.4101865122634847
2,0.7410586552217453,0.712516201248969,0.5541666666666667,0.642512077294686,0.5950782997762863,0.6433368681512902,0.42758479581301956
3,0.7378223495702005,0.6753298503497742,0.5625,0.5217391304347826,0.5413533834586466,0.6165569625234905,0.4312579225396278
4,0.7063037249283668,0.650132333697374,0.5047619047619047,0.5120772946859904,0.5083932853717026,0.5313025768174976,0.3493405892269842
5,0.7363896848137536,0.6924741973887463,0.5525114155251142,0.5845410628019324,0.568075117370892,0.5918415537648691,0.39716333143859983
